customer_id,product_id,pure_names,price,quantity,cleaned_body,tags,true_vendor,product_type,status,created_at,updated_at,published_at
9296908484884,9774031765780,3pcs Self-Watering Planters - Gray colored,2100.00,1,Color: Gray Quantity: 3pcs Shape: Round Material: Plastic Style: Modern Special Features: Self-watering Mounting Type: Tabletop Indoor Outdoor Usage: Indoor And Outdoor,"{""Gardening Tools"",""Nationwide""}",BaKhabar Kissan,Gardening,ACTIVE,2025-02-26 07:56:50,2025-07-16 11:37:52,2025-02-26 07:56:50
9165239353620,9737479586068,Garden Gloves with Claws,1900.00,1,"   Ambidextrous Polyurethane Garden Gloves with Claws, Tear Resistant, Alcohol-Free, for Easy Digging &amp; Planting, Yard Work Safe Gloves for Men &amp; Women      ","{""Gardening Tools"",""Nationwide""}",BaKhabar Kissan,Gardening,ACTIVE,2025-01-29 10:33:49,2025-07-30 03:58:35,2025-01-29 10:33:49
7445025653012,8780443058452,Green Sulfur 70% 20KG,11000.00,1,"Sulfur is an essential 4th major nutrient, classified as a secondary macronutrient, it is used in the formation of amino acids, protein, oils, and chlorophyll, and activates certain enzymes/vitamins. Plants take up sulfur as Sulphate ion (SO4), G. sulfur (elemental sulfur) when added to the soil, its oxidation starts in the presence of oxygen, moisture &amp; bacteria, and it releases H+ ions, which acidify the soil, minimizing currently applied nitrogen fertilizer losses and make available already present fixed nutrients in the soil, sulfur also conditions &amp; reclaim salt-affected soils, thus increase soil fertility &amp; yield.  Role: 1. Helps in lowering the pH of the soil and thus increases the efficiency of other fertilizers. 2. Enhances the process of photosynthesis and improves the quality of crops for end users. 3. Helps to reclaim salt-affected soils. 4. Acts as antifungal.  Method of Application: Use this product with irrigation or spread it by hand on soil or place it along the plant rows. Registration Details: Product is registered in Pakistan. SKU: Green Sulfur is available in 1 Kg and 20 Kg bags.","{""Chiniot"",""Green Sulfur 70%"",""Jhang"",""Sargodha"",""Sulfur"",""Sulphate ion""}",VAN (Vital Agri Nutrient),Fertilizers,ACTIVE,2023-10-17 06:43:27,2025-07-14 07:02:22,2023-10-17 06:44:43
9272443011348,9831537508628,Coriander F1 Hybrid Seeds,140.00,1,"Indulge in the finest Coriander F1 Hybrid Seeds, perfect for kitchen gardening in Pakistan. These premium quality seeds offer a delectable addition to your homegrown produce, ensuring a touch of sophistication and exclusivity in every bite. Elevate your gardening experience with these luxurious and versatile seeds. Product Details:  Imported High Quality Hybrid Seeds.  Quantity: 500+ Seeds in One Pack.  90% Germination Rate.  Best for Home Kitchen Gardening.  Important Note:  Use Coco-Peat, Potting Mix or Peat Moss for Seeds Germination.  Use NPK 20.20.20 after 30 days of germination. ","{""Coriander"",""Gardening Tools"",""Nationwide""}",BaKhabar Kissan,Seeds,ACTIVE,2025-04-18 10:34:06,2025-07-30 17:03:11,2025-04-18 10:36:39
8509944594708,8875258609940,Findus Extra 100gm,1200.00,2,"  Product: HerbicideAcre Dosage: 100 GMTarget weeds:   Narrow &amp; Broadleaves Target Crop: Wheat   Findus Xtra is a broad-spectrum herbicide very effective for the control of grasses, sedges, and broadleaf weeds in wheat. It is a combination herbicide based on Mesosulfuron-methyl and Iodosulfuron-methyl sodium. It is a novel safe sulfonyl urea-based product for the post-emergent application. The excellent quality of grass control by Findus Xtra is founded on its broad control spectrum and its reliable efficacy. Co-infestation with different grass weed species on a field or a farm can be easily managed. Excellent control of resistant Phalaris minor. Crop : Wheat","{""Findus Xtra"",""Mesosulfuron-methyl + Iodosulfuron-methyl sodium"",""Sargodha"",""wheat""}",Suncrop Group,Herbicides,ACTIVE,2023-11-29 10:20:56,2025-07-21 08:40:42,2023-11-29 10:20:56
8562198642964,9376473055508,Tornado 500ml,900.00,6," Stress Relief - Amino Acids 10% -Liquid Tornado is a Amino acids of 10% in liquid form, derived purely from vegetable sources. Amino acids chelate, promote &amp;amp; activate, and most importantly simplify the protein-building process for plants. Amino acids not only resume the development of proteins in plants but also facilitate plants nutrient uptake from the soil.  ","{""Amino Acid"",""Chiniot"",""Jhang"",""Sargodha"",""Tornado""}",VAN (Vital Agri Nutrient),Crop Supplement,ACTIVE,2024-05-24 06:02:11,2025-07-31 11:32:58,2024-05-24 06:02:11
8514415984916,8875258609940,Findus Extra 100gm,1200.00,7,"  Product: HerbicideAcre Dosage: 100 GMTarget weeds:   Narrow &amp; Broadleaves Target Crop: Wheat   Findus Xtra is a broad-spectrum herbicide very effective for the control of grasses, sedges, and broadleaf weeds in wheat. It is a combination herbicide based on Mesosulfuron-methyl and Iodosulfuron-methyl sodium. It is a novel safe sulfonyl urea-based product for the post-emergent application. The excellent quality of grass control by Findus Xtra is founded on its broad control spectrum and its reliable efficacy. Co-infestation with different grass weed species on a field or a farm can be easily managed. Excellent control of resistant Phalaris minor. Crop : Wheat","{""Findus Xtra"",""Mesosulfuron-methyl + Iodosulfuron-methyl sodium"",""Sargodha"",""wheat""}",Suncrop Group,Herbicides,ACTIVE,2023-11-29 10:20:56,2025-07-21 08:40:42,2023-11-29 10:20:56
9276686205204,9894362775828,4pcs Self-Watering Planters Plastic Striped- Blue Colour,3000.00,1,"Color: Blue Quantity: 4pcs Planters without plants    Self-Watering Pots, Contemporary Striped Plastic Flower Containers, Easy Care, Space-Saving, with Multiple Components for Indoor and Outdoor Greenery, Succulents, Cacti, and Flowers, Modern Home Decor  Shape: Striped  Material: Plastic Style: Modern Special Features: Self-watering Mounting Type: Tabletop Indoor Outdoor Usage: Indoor And Outdoor","{""Gardening Tools"",""Nationwide""}",BaKhabar Kissan,Gardening,ACTIVE,2025-06-20 07:02:16,2025-07-31 00:39:36,2025-06-20 07:07:15
8567050928404,,Cotton Seed FH 333 5kg,6500.00,1,,,,,,,,
9184563396884,9811133595924,3 pcs Garden Pruning Shears - Stainless steel,5200.00,1,"3pcs Stainless Steel Garden Pruning Shears  Ergonomic Retro Design, Sharp Blades for Gardening, Landscaping &amp; DIY Gardening Durable Manual Clippers with Comfort Grip (Yellow, Orange, Green)   Manual Gardening Clippers | Ergonomic Garden Shears | Ergonomic Handle, Pruning Shears for Gardening  ","{""Gardening Tools"",""Nationwide""}",BaKhabar Kissan,Gardening,ACTIVE,2025-03-28 05:16:43,2025-07-31 15:13:03,2025-03-28 05:20:10
